model;product;category;relevance;replacement
DS-TLWSP-PB800;2020 Q3 Solar and wind products;П;true;
 DS-TLWSP-PB3000;2020 Q3 Solar and wind products;П;true;
DS-TLWSP-P200;2020 Q3 Solar and wind products;П;true;
DS-TLWSP-PB200;2020 Q3 Solar and wind products;П;true;
DS-TLWSP-PB400;2020 Q3 Solar and wind products;П;true;
UAV-MX4060BP-A1;2020 Q3 UAV-Price list;П;true;
UAV-G3V0230CI;2020 Q3 UAV-Price list;П;true;
UAV-G3V1203CI;2020 Q3 UAV-Price list;П;true;
UAV-G3T0309CI;2020 Q3 UAV-Price list;П;true;
UAV-AT1010CI;2020 Q3 UAV-Price list;П;true;
UAV-AT3030CI;2020 Q3 UAV-Price list;П;true;
UAV-MX6150BP-A1;2020 Q3 UAV-Price list;П;true;
UAV-MX4080BP-A1;2020 Q3 UAV-Price list;П;true;
UAV-G3V0823AI;2020 Q3 UAV-Price list;П;true;
UAV-G3V0223SI;2020 Q3 UAV-Price list;П;true;
UAV-G3T0617BI;2020 Q3 UAV-Price list;П;true;
UAV-AT1025AI;2020 Q3 UAV-Price list;П;true;
UAV-AT2010AI;2020 Q3 UAV-Price list;П;true;
UAV-AT3030AI;2020 Q3 UAV-Price list;П;true;
UAV-G3M0617BI;2020 Q3 UAV-Price list;П;true;
UAV-G3V0837AI;2020 Q3 UAV-Price list;П;true;
UAV-AT4040AI;2020 Q3 UAV-Price list;П;true;
UAV-G3L0230AI;2020 Q3 UAV-Price list;П;true;
UAV-G5V2020AI;2020 Q3 UAV-Price list;П;true;
UAV-S11HBI;2020 Q3 UAV-Price list;П;true;
MV-PD030001-01;2020 Q3 UVSS price list;П;true;
DS-TMG023;2020 Q3 UVSS price list;П;true;
DS-TCG227-A(220V);2020 Q3 UVSS price list;П;true;
ESP-L1300-R117(TCG225);2020 Q3 UVSS price list;П;true;
Speed Humps;2020 Q3 UVSS price list;П;true;
DS-D5022FC-A;2020 Q3 UVSS price list;П;true;
Logitech wireless Keyboard & Mouse;2020 Q3 UVSS price list;П;true;
MV-PC030001-16;2020 Q3 UVSS price list;П;true;
LED lights in Lighting Module;2020 Q3 UVSS price list;П;true;
Line Scan Camera in Imaging Module;2020 Q3 UVSS price list;П;true;
Fixed UVSS Cables;2020 Q3 UVSS price list;П;true;
DS-3E0508-E;2020 Q3 UVSS price list;П;true;
DS-TMG022;2020 Q3 UVSS price list;П;true;
ARK-1550S9A1E;2020 Q3 UVSS price list;П;true;
Win Emb Std E 7 EMB China ESD OEI China;2020 Q3 UVSS price list;П;true;
DS-1258ZJ;2020 Q4 Camera accessories;Д;true;
DS-1258ZJ(Black);2020 Q4 Camera accessories;Д;true;
DS-1258ZJ-L;2020 Q4 Camera accessories;Д;true;
DS-1272ZJ-110;2020 Q4 Camera accessories;Д;true;
